0.00,2.00,2.00,2.00,0.00,2.00,2.00,2.00,0.00,0.00,2.00,0.00,0.00,2.00,4.00,8.00,6.00,4.00,2.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,2.00,4.00,2.00,4.00,0.00,2.00,6.00,6.00,4.00,2.00,2.00,0.00,2.00,4.00,2.00,4.00,2.00,2.00,2.00,0.00,2.00,2.00,2.00,0.00,0.00,4.00,4.00,0.00,2.00,2.00,4.00,0.00,0.00,2.00,2.00,0.00,0.00,2.00,0.00,0.00,2.00,4.00,2.00,2.00,4.00,0.00,2.00,0.00,0.00,2.00,2.00,0.00,4.00,4.00,4.00,4.00,4.00,2.00,2.00,0.00,2.00,6.00,2.00,0.00,4.00,4.00,8.00,0.00,6.00,0.00,2.00,2.00,8.00,6.00,2.00,4.00,2.00,2.00,8.00,6.00,4.00,6.00,4.00,0.00,0.00,2.00,0.00,2.00,2.00,0.00,2.00,2.00,2.00,0.00,2.00,2.00,0.00,4.00,2.00,2.00,0.00,0.00,2.00,2.00,8.00,4.00,2.00,2.00,6.00,0.00,4.00,2.00,4.00,6.00,8.00,4.00,2.00,6.00,8.00,2.00,0.00,0.00,4.00,4.00,0.00,2.00,2.00,0.00,2.00,6.00,0.00,0.00,0.00,0.00,4.00,6.00,70.00,132.00,70.00,14.00,48.00,42.00,70.00,42.00,104.00,142.00,30.00,88.00,24.00,24.00,12.00,32.00,24.00,48.00,0.00,62.00,4.00,0.00,42.00,46.00,4.00,110.00,104.00,4.00,18.00,106.00,110.00,0.00,36.00,86.00,92.00,20.00,76.00,0.00
0.00,2.00,2.00,1.41,3.16,3.16,0.00,3.16,3.16,2.00,2.83,1.41,0.00,2.00,5.10,8.25,4.00,4.24,4.47,3.16,1.41,1.41,2.00,3.16,5.10,5.10,5.83,7.21,5.10,4.24,1.41,1.41,6.32,5.10,4.00,1.41,2.83,3.16,5.83,5.83,4.24,5.10,1.41,2.83,2.83,3.16,4.47,5.83,6.32,5.10,4.00,5.66,5.66,4.00,4.47,4.47,5.83,5.10,3.16,3.16,3.16,2.00,2.00,1.41,0.00,0.00,1.41,4.24,4.24,2.83,4.47,2.00,4.24,3.16,2.00,2.83,1.41,0.00,3.16,4.24,4.24,3.16,3.16,2.83,1.41,0.00,2.00,5.10,2.83,2.00,5.83,5.66,8.94,4.00,3.16,3.16,4.47,7.21,11.31,11.40,11.40,10.20,7.07,7.62,9.90,7.07,7.07,9.90,7.62,5.10,5.10,6.32,6.00,7.07,8.25,7.07,6.32,6.32,5.66,2.00,4.00,6.32,6.00,7.21,7.62,10.77,11.05,9.06,7.07,6.32,9.90,8.94,7.07,5.83,7.07,6.00,3.16,3.16,4.47,6.32,8.25,4.47,1.41,7.07,8.25,1.41,0.00,1.41,5.83,8.49,10.20,10.77,7.62,6.00,5.10,4.47,0.00,2.83,6.32,9.06,48.27,109.44,135.09,122.61,35.36,38.47,60.81,66.24,117.39,37.66,99.25,110.68,102.30,46.04,37.12,10.00,2.00,37.34,35.81,69.18,18.11,82.00,17.03,15.03,59.48,48.41,31.02,170.56,137.77,74.15,122.12,152.53,86.56,99.36,247.36,242.74,74.04,93.01,109.00,66.00
0.00,1.41,1.41,0.00,2.00,0.00,2.00,0.00,2.00,3.16,3.16,3.16,2.00,2.83,5.10,7.07,2.83,2.83,3.16,4.47,4.47,5.83,6.00,5.10,5.83,7.07,7.62,4.47,2.00,2.83,3.16,0.00,5.10,4.24,5.66,3.16,3.16,7.07,3.16,1.41,3.16,6.00,0.00,1.41,3.16,4.47,3.16,3.16,1.41,2.83,2.00,4.24,5.66,4.00,3.16,3.16,1.41,3.16,4.47,4.00,3.16,2.00,2.00,1.41,0.00,0.00,0.00,2.00,4.00,2.00,3.16,3.16,4.24,3.16,4.00,3.16,2.00,1.41,1.41,3.16,3.16,1.41,1.41,3.16,4.00,4.00,4.47,4.24,2.83,4.47,4.00,4.47,6.00,1.41,2.83,4.47,4.47,8.60,10.00,8.60,5.66,4.00,5.10,7.21,7.07,5.66,7.21,8.94,4.47,5.10,7.62,8.25,8.00,7.07,6.32,6.32,5.10,5.10,8.60,7.07,6.32,5.10,3.16,4.47,7.21,7.07,4.47,4.47,3.16,2.83,5.66,7.62,7.07,7.07,5.83,6.00,5.83,6.32,5.66,5.83,7.07,4.00,1.41,9.49,7.62,4.47,12.08,17.26,17.72,16.55,12.17,11.40,8.94,8.00,6.32,2.00,1.41,5.83,5.66,42.45,150.33,148.92,88.02,17.03,42.19,33.11,42.64,93.61,183.33,67.07,137.41,116.18,129.88,11.05,9.49,13.04,10.20,41.59,40.50,88.77,24.74,97.32,8.49,0.00,57.71,76.55,127.63,82.00,157.54,183.92,68.82,44.27,154.26,206.07,157.16,61.19,133.52,63.89,9.90,8.00
2.00,1.41,0.00,0.00,1.41,3.16,3.16,1.41,2.00,2.00,0.00,1.41,2.00,1.41,2.83,7.21,4.47,2.00,0.00,2.00,5.10,4.47,2.00,3.16,5.66,3.16,1.41,0.00,0.00,2.00,3.16,2.00,3.16,1.41,4.47,3.16,3.16,7.21,6.32,4.47,1.41,5.10,2.00,1.41,1.41,2.83,1.41,1.41,2.00,0.00,3.16,5.10,7.21,5.10,3.16,5.10,0.00,1.41,3.16,4.00,4.47,3.16,1.41,2.00,0.00,0.00,0.00,2.00,3.16,3.16,4.47,4.47,3.16,2.00,3.16,4.00,3.16,3.16,0.00,0.00,0.00,0.00,1.41,2.00,1.41,0.00,2.00,2.00,1.41,5.10,9.06,8.25,5.83,5.83,8.60,8.25,8.25,9.90,8.60,5.83,2.00,2.00,4.00,5.83,7.07,7.21,7.07,8.94,5.83,8.25,9.49,7.07,8.25,10.20,9.49,8.25,6.32,3.16,5.10,9.06,9.06,7.07,6.32,7.07,6.32,1.41,2.83,1.41,4.47,4.24,2.83,2.83,2.83,6.32,3.16,2.83,10.20,7.62,4.47,4.47,5.10,7.62,8.94,12.73,11.40,13.42,20.00,16.12,10.00,4.24,2.83,7.62,4.47,3.16,5.66,3.16,3.16,46.86,111.40,146.54,132.44,32.06,44.41,41.40,29.73,40.72,52.63,109.88,165.68,82.61,75.01,155.76,168.76,24.08,19.65,22.63,18.44,46.17,39.29,85.05,7.07,90.02,16.49,49.34,89.99,63.56,33.38,118.70,115.11,31.91,125.30,152.43,106.00,22.36,161.70,204.32,127.95,32.80,9.06,0.00
0.00,2.00,0.00,0.00,0.00,2.00,0.00,2.00,2.00,2.00,1.41,2.83,1.41,1.41,1.41,5.10,7.07,1.41,2.00,2.83,3.16,2.83,1.41,2.00,4.47,2.00,2.00,2.00,1.41,1.41,0.00,2.00,1.41,0.00,4.00,4.00,1.41,4.24,4.47,5.66,3.16,3.16,1.41,2.83,1.41,2.00,2.00,1.41,3.16,4.47,4.47,3.16,4.24,4.47,4.24,5.83,3.16,1.41,1.41,2.00,2.83,3.16,2.00,1.41,1.41,0.00,0.00,2.00,1.41,3.16,4.47,2.00,1.41,2.00,2.83,2.00,2.83,2.00,2.00,1.41,0.00,1.41,1.41,2.83,4.47,4.00,5.10,7.07,8.00,8.25,8.00,8.00,9.49,9.49,8.60,8.94,11.40,9.49,4.24,3.16,2.00,1.41,7.07,8.94,7.07,5.66,8.49,11.31,8.94,8.94,8.25,8.00,8.94,9.06,11.40,11.40,10.30,7.62,5.10,4.00,4.00,4.47,4.47,3.16,1.41,2.00,2.00,3.16,1.41,3.16,3.16,2.00,1.41,5.83,3.16,6.00,12.17,5.10,4.00,5.10,7.21,14.42,11.66,11.40,12.73,8.60,8.25,10.20,13.93,13.04,10.20,7.21,5.66,5.83,4.47,1.41,43.93,140.01,147.58,89.27,8.49,55.01,42.54,44.65,45.89,63.39,94.76,56.32,129.19,193.60,48.66,186.87,178.40,10.20,13.34,24.08,21.40,46.24,32.31,109.77,35.69,115.52,46.75,101.87,43.86,90.70,106.89,30.89,114.28,143.95,93.86,29.15,120.54,120.42,32.28,63.25,56.32,47.43,10.00,12.00
0.00,2.00,0.00,1.41,2.00,1.41,4.00,2.00,2.00,2.00,1.41,2.83,1.41,2.00,1.41,2.00,7.21,5.10,3.16,0.00,2.83,3.16,2.00,4.00,4.00,4.00,1.41,4.47,1.41,0.00,2.00,0.00,0.00,1.41,4.47,3.16,0.00,2.00,1.41,4.47,6.32,5.10,4.47,3.16,2.00,2.83,2.83,4.24,4.47,3.16,1.41,2.00,1.41,2.83,4.24,5.83,5.83,3.16,2.83,2.00,3.16,3.16,3.16,3.16,2.83,3.16,3.16,3.16,1.41,2.83,0.00,3.16,3.16,2.00,3.16,4.00,4.47,3.16,1.41,2.00,5.10,5.83,6.32,10.30,9.06,8.00,8.00,8.00,9.06,10.20,9.06,9.06,10.77,9.06,8.94,10.00,8.94,7.07,4.47,2.83,4.47,6.32,8.60,10.77,4.24,5.83,11.66,9.90,7.21,7.21,7.62,9.06,8.25,5.10,4.47,5.66,7.07,7.21,5.10,2.83,1.41,0.00,3.16,1.41,1.41,2.00,1.41,0.00,2.00,1.41,4.00,1.41,2.00,4.47,4.00,7.07,10.20,5.66,5.66,8.25,9.06,12.00,8.00,6.32,5.83,11.05,14.14,12.17,11.66,10.20,8.25,5.10,4.24,3.16,26.87,81.44,149.57,130.38,17.26,47.20,56.30,36.00,41.30,14.76,121.21,74.11,8.25,76.12,102.69,199.72,25.61,199.00,172.42,8.25,9.06,19.80,25.61,50.12,36.77,184.98,170.42,256.74,125.54,70.72,118.07,69.66,70.46,130.18,100.50,18.97,95.89,122.12,64.64,27.86,31.05,92.78,17.49,81.30,16.49,14.00
4.00,4.24,1.41,2.00,0.00,4.00,0.00,1.41,2.83,2.83,2.00,0.00,1.41,1.41,2.00,1.41,3.16,5.83,4.24,2.83,0.00,1.41,2.00,4.24,3.16,4.00,2.00,4.00,1.41,2.00,1.41,1.41,3.16,4.47,4.24,1.41,0.00,1.41,3.16,5.10,6.32,5.10,3.16,2.00,4.47,3.16,3.16,4.47,1.41,1.41,2.00,3.16,4.00,4.24,3.16,5.10,7.21,5.83,3.16,1.41,4.00,2.00,1.41,1.41,2.00,3.16,3.16,3.16,2.83,1.41,2.00,3.16,4.24,3.16,1.41,1.41,4.24,4.47,4.47,5.83,7.62,9.49,9.49,7.21,4.00,4.00,5.10,7.07,8.25,8.25,9.06,10.20,9.49,9.06,10.77,8.94,5.83,6.00,9.49,10.20,9.49,8.25,10.00,10.00,7.21,11.40,14.21,10.00,10.30,10.77,9.49,7.07,6.00,7.07,7.62,7.21,7.62,8.60,5.83,5.83,6.32,6.32,7.62,7.62,4.47,3.16,0.00,2.00,1.41,2.00,3.16,0.00,1.41,4.47,6.32,6.32,6.00,4.24,5.83,11.05,9.06,9.49,10.77,7.62,13.34,13.04,8.60,4.00,7.21,4.47,5.83,6.00,5.10,50.93,119.54,147.25,108.76,10.30,60.00,43.17,39.82,55.17,94.19,91.71,80.36,49.82,41.59,94.41,171.27,158.24,39.92,239.47,170.29,13.04,12.00,17.26,38.42,34.67,185.95,259.36,105.60,243.05,187.07,10.00,124.85,216.39,230.43,97.51,61.40,79.06,34.41,20.10,19.70,41.88,49.52,58.31,48.17,73.01,13.34,10.00
2.00,4.24,4.24,2.83,2.00,2.00,1.41,1.41,1.41,2.00,1.41,2.83,1.41,1.41,3.16,3.16,1.41,4.00,3.16,3.16,4.47,4.00,4.47,3.16,1.41,3.16,3.16,4.24,1.41,0.00,0.00,3.16,4.24,3.16,1.41,1.41,2.00,2.00,4.24,3.16,2.83,2.83,1.41,0.00,3.16,4.47,5.10,4.00,0.00,3.16,3.16,3.16,1.41,3.16,2.00,2.00,4.24,5.83,5.10,4.24,4.24,4.24,3.16,1.41,2.83,1.41,3.16,3.16,4.47,4.00,3.16,3.16,5.10,5.83,4.47,4.24,4.47,5.66,9.90,8.49,4.24,3.16,3.16,2.83,3.16,4.00,4.47,5.83,6.32,6.32,8.25,10.20,10.20,11.40,11.40,9.06,7.07,6.32,7.07,8.25,8.25,9.49,11.66,10.30,11.40,14.21,14.21,8.94,8.49,8.60,7.07,5.10,4.00,6.32,9.49,10.77,10.20,11.40,8.49,4.47,5.10,5.10,5.10,7.21,7.07,5.83,5.10,4.24,2.83,2.00,3.16,3.16,4.00,4.47,4.00,6.32,4.47,2.83,7.07,13.04,10.77,5.83,7.21,12.00,9.49,5.66,7.21,8.25,7.62,4.24,3.16,3.16,42.45,137.30,126.25,38.60,39.01,69.31,46.67,30.27,15.30,128.28,85.71,43.93,37.74,34.06,102.45,257.10,131.47,68.35,106.92,272.89,180.04,7.62,8.94,55.17,138.10,177.79,169.73,69.43,117.41,243.43,97.25,149.47,152.43,120.51,51.22,165.15,46.86,36.22,14.76,35.47,32.25,27.89,55.95,24.21,55.01,18.97,32.56,26.00
0.00,1.41,4.47,3.16,0.00,1.41,2.83,1.41,0.00,1.41,2.83,0.00,2.00,3.16,1.41,3.16,2.83,4.24,1.41,0.00,1.41,2.00,2.83,2.00,1.41,2.00,4.00,2.00,1.41,3.16,4.00,2.83,2.83,3.16,1.41,2.00,0.00,1.41,3.16,2.83,3.16,1.41,2.00,0.00,1.41,4.47,7.07,4.00,1.41,3.16,1.41,1.41,1.41,2.83,2.00,2.00,3.16,6.00,7.62,7.21,6.32,7.21,7.21,4.00,1.41,1.41,3.16,3.16,3.16,0.00,1.41,3.16,4.00,5.83,7.07,8.94,9.49,11.66,10.00,4.47,1.41,2.83,5.10,5.10,5.83,7.07,7.07,7.21,7.62,9.49,10.77,10.20,11.40,11.40,9.06,8.00,7.07,4.00,4.47,7.62,8.25,10.30,10.30,8.94,11.31,12.81,11.31,6.00,4.47,6.00,0.00,1.41,3.16,7.07,7.07,8.60,5.83,8.60,9.90,8.25,7.07,5.10,3.16,4.47,5.66,6.32,5.83,5.66,4.47,4.00,3.16,4.00,7.62,5.66,3.16,3.16,5.83,5.66,9.06,16.12,12.65,2.00,7.21,6.32,2.83,5.10,4.24,5.66,4.00,5.66,41.11,96.14,134.24,129.07,3.16,72.11,62.80,40.50,45.61,21.95,97.69,89.84,45.54,53.01,1.41,5.83,171.81,179.25,130.12,76.49,110.06,275.09,192.04,3.16,14.42,154.02,188.99,106.67,94.25,123.97,82.10,161.28,154.32,113.21,89.81,226.32,215.82,126.75,8.94,35.69,17.03,35.44,51.42,10.30,62.03,58.05,14.14,42.00,33.11,16.00
0.00,0.00,3.16,4.24,3.16,1.41,1.41,2.00,2.00,2.00,1.41,2.00,0.00,3.16,1.41,2.00,4.24,1.41,1.41,3.16,3.16,1.41,3.16,2.00,2.83,4.24,3.16,3.16,2.00,2.00,0.00,1.41,2.00,2.83,3.16,2.00,1.41,3.16,1.41,4.47,2.00,2.00,1.41,0.00,0.00,4.00,8.00,4.00,1.41,3.16,4.00,3.16,1.41,2.00,1.41,3.16,3.16,2.83,4.47,7.62,7.21,5.83,4.24,4.47,4.00,3.16,2.00,4.24,2.83,1.41,4.24,5.83,6.00,7.07,8.00,9.49,10.20,7.62,4.24,2.00,2.00,5.83,4.47,4.00,5.66,5.83,7.07,8.94,10.30,10.77,9.49,9.49,12.08,11.05,9.06,8.00,8.25,7.62,7.21,8.60,9.49,11.66,10.77,10.77,11.40,11.40,8.60,6.00,8.25,5.83,3.16,6.32,8.25,7.21,4.00,7.07,7.21,8.94,12.08,12.17,11.40,9.49,7.21,5.66,6.00,7.62,7.07,5.66,4.24,1.41,3.16,7.62,8.94,5.66,4.00,4.00,4.47,5.83,10.20,17.03,8.94,8.60,4.24,3.16,4.24,5.66,4.24,3.16,1.41,53.91,132.80,128.16,57.43,36.80,61.06,60.22,25.30,42.05,80.96,95.63,111.52,14.56,26.57,10.20,3.16,3.16,183.32,132.74,45.28,106.02,24.04,256.50,222.89,57.71,53.85,144.01,169.20,147.65,26.83,58.00,37.74,25.50,47.52,87.82,187.63,53.14,112.29,38.00,9.06,22.36,24.04,39.70,46.17,21.59,59.41,55.44,19.70,58.31,36.06,82.00
